optimizer,epoch,val_accuracy,val_f1_micro,val_recall_micro,val_precision_micro,train_loss,val_loss,train_f1_micro,train_precision_micro,train_recall_micro
adagrad,1,0.8193877551020409,0.9185999185999186,0.8938613861386139,0.9447467559648388,0.2371975345912214,0.11322699341238761,0.7923705722070845,0.8463329452852154,0.7448770491803278
adagrad,2,0.8846938775510204,0.9505796217205613,0.9255445544554456,0.9770066889632107,0.12674097367867235,0.06470435100550555,0.905021338418233,0.9226995000925754,0.888007840342124
adagrad,3,0.9326530612244898,0.9719101123595506,0.9592079207920792,0.9849532330215535,0.08886022770111202,0.04401311226645294,0.934897599348976,0.949013308857274,0.9211956521739131
adagrad,4,0.9392857142857143,0.975355640152274,0.9639603960396039,0.9870235198702352,0.07344728975241775,0.03636662885546684,0.9475080964375675,0.9568041424418605,0.9383909479686386
adagrad,5,0.9469387755102041,0.9785871522913748,0.9683168316831683,0.9890776699029126,0.0628163085229512,0.03188743755525472,0.9555689991261679,0.9612766532930622,0.949928724162509
adagrad,6,0.9505102040816327,0.9804,0.9706930693069307,0.9903030303030304,0.05833802642749994,0.028624376289698543,0.9585265846608859,0.9642519046116396,0.9528688524590164
adagrad,7,0.9571428571428572,0.9830778419271352,0.9778217821782178,0.9883907125700561,0.05295949032966576,0.02468296229383167,0.9636685568281148,0.969732509359917,0.957679971489665
adagrad,8,0.9607142857142857,0.9844124700239808,0.9754455445544554,0.9935457845905608,0.04954230599812785,0.024429666828744267,0.9655959709009513,0.970396364781572,0.9608428367783322
adagrad,9,0.9668367346938775,0.9868421052631579,0.9801980198019802,0.9935768767563228,0.04634284959228278,0.021303099553499905,0.9675644237652111,0.9717379583033788,0.9634265858873842
adagrad,10,0.9688775510204082,0.9876543209876543,0.9821782178217822,0.9931918301962355,0.044430280244418724,0.019145449444803658,0.9699772148505562,0.9728022224213639,0.9671685673556665
adagrad,11,0.9714285714285714,0.9884462151394422,0.9825742574257426,0.9943887775551102,0.04105351984688406,0.017697940310653377,0.9721862004203372,0.9758955022892539,0.9685049893086244
adagrad,12,0.9729591836734693,0.9892387405340773,0.982970297029703,0.99558764540714,0.03896417364002551,0.01744685950403919,0.9742901855577912,0.9779193968225474,0.970687811831789
adagrad,13,0.9755102040816327,0.9902487562189055,0.9853465346534653,0.9952,0.036290624923486704,0.014937310175476025,0.9755618103024617,0.9784030827135048,0.9727369921596579
